0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	1
66	0
67	0
68	0
69	0
70	1
71	1
72	0
73	0
74	1
75	0
76	1
77	1
78	1
79	0
80	0
81	0
82	0
83	1
84	0
85	0
86	1
87	0
88	2
89	0
90	1
91	1
92	4
93	4
94	0
95	4
96	3
97	1
98	2
99	3
100	4
101	9
102	3
103	3
104	9
105	12
106	9
107	6
108	7
109	13
110	17
111	10
112	20
113	25
114	16
115	21
116	21
117	22
118	28
119	37
120	33
121	39
122	47
123	71
124	62
125	70
126	80
127	108
128	92
129	107
130	128
131	170
132	187
133	210
134	228
135	252
136	289
137	309
138	396
139	395
140	435
141	489
142	579
143	607
144	662
145	760
146	786
147	798
148	968
149	983
150	1010
151	1123
152	1205
153	1258
154	1380
155	1454
156	1528
157	1657
158	1760
159	1839
160	1987
161	2067
162	2146
163	2336
164	2535
165	2645
166	2836
167	3011
168	3146
169	3438
170	3740
171	4065
172	4414
173	4884
174	5151
175	5641
176	6241
177	6747
178	7562
179	8126
180	8722
181	9539
182	10027
183	10928
184	11686
185	12678
186	13387
187	14424
188	15200
189	16451
190	18157
191	19671
192	21991
193	24486
194	27789
195	31411
196	35691
197	40547
198	46351
199	52623
200	59459
201	67266
202	75162
203	83618
204	91819
205	99390
206	106329
207	113113
208	117480
209	120357
210	121519
211	121500
212	118397
213	114239
214	108710
215	102307
216	95150
217	86547
218	78573
219	70740
220	63239
221	55741
222	48811
223	42463
224	36756
225	31413
226	26827
227	23228
228	19524
229	16600
230	13795
231	11487
232	9688
233	8208
234	6931
235	5853
236	4718
237	4056
238	3192
239	2704
240	2258
241	1864
242	1639
243	1422
244	1212
245	959
246	880
247	702
248	662
249	584
250	522
251	443
252	390
253	398
254	350
255	327
256	308
257	300
258	299
259	239
260	231
261	205
262	211
263	212
264	172
265	193
266	173
267	208
268	147
269	171
270	151
271	138
272	139
273	139
274	135
275	152
276	155
277	142
278	143
279	128
280	120
281	119
282	111
283	132
284	123
285	108
286	124
287	147
288	120
289	117
290	127
291	123
292	135
293	130
294	141
295	137
296	159
297	147
298	174
299	168
300	139
301	159
302	156
303	164
304	161
305	205
306	159
307	181
308	191
309	191
310	206
311	200
312	220
313	251
314	246
315	263
316	256
317	284
318	275
319	320
320	291
321	332
322	368
323	388
324	414
325	458
326	469
327	473
328	528
329	565
330	591
331	641
332	707
333	677
334	753
335	833
336	841
337	905
338	1006
339	989
340	1107
341	1201
342	1200
343	1440
344	1498
345	1593
346	1626
347	1843
348	2008
349	2093
350	2301
351	2499
352	2604
353	2847
354	3183
355	3482
356	3727
357	4022
358	4358
359	4868
360	5290
361	5583
362	6043
363	6404
364	6954
365	7314
366	7912
367	8399
368	8979
369	9233
370	9645
371	9842
372	10359
373	10494
374	10719
375	10800
376	11119
377	10915
378	10821
379	10439
380	10578
381	10163
382	10143
383	9576
384	9103
385	8640
386	8453
387	7782
388	7298
389	6823
390	6307
391	5916
392	5477
393	4949
394	4571
395	4265
396	3844
397	3483
398	3261
399	2941
400	2631
401	2457
402	2273
403	1983
404	1897
405	1689
406	1561
407	1486
408	1377
409	1342
410	1201
411	1129
412	1117
413	1057
414	971
415	1017
416	1040
417	944
418	916
419	939
420	913
421	888
422	904
423	856
424	799
425	788
426	772
427	743
428	709
429	672
430	646
431	625
432	575
433	569
434	538
435	561
436	482
437	467
438	403
439	427
440	379
441	352
442	308
443	335
444	279
445	257
446	251
447	206
448	223
449	191
450	160
451	152
452	136
453	147
454	120
455	92
456	101
457	102
458	74
459	75
460	69
461	68
462	67
463	62
464	40
465	56
466	42
467	34
468	44
469	39
470	44
471	49
472	31
473	44
474	39
475	45
476	51
477	52
478	39
479	42
480	54
481	46
482	57
483	55
484	47
485	56
486	52
487	61
488	60
489	80
490	80
